profile	ctx	mtp	load_s	vram_used_MiB	vram_total_MiB	vram_free_MiB	RSS_GiB	prose_tps	struct_tps	prefill_tps	accept_pct	note
ctx32k	32768	no	3.04	21748	32607	10859	1.32	65.64	65.68	3256.03	NA	warm page cache
ctx64k	65536	no	2.03	23850	32607	8757	1.35	65.87	66.21	3234.64	NA	warm page cache
ctx64k-mtp	65536	yes	3.04	25470	32607	7137	1.48	72.43	118.69	2902.0	NA	warm page cache
ctx128k	131072	no	3.04	28014	32607	4593	1.41	66.5	66.24	3252.84	NA	warm page cache
ctx128k-mtp	131072	yes	3.04	29950	32607	2657	1.61	77.46	111.6	2881.87	NA	warm page cache
ctx32k-mtp	32768	yes	3.04	23250	32607	9357	1.42	78.25	131.21	2920.6	NA	warm page cache
ctx64k-mtp-UNGATED	65536	yes	3.04	25460	32607	7147	1.48	44.52	99.86	2894.24	NA	warm page cache
