treatment,subset,prompt_id,cycle,baseline_value,treatment_value,pct_change,n_baseline_obs,n_treatment_obs
gate_0.10,prose,prose_05,1,11.38172843338473,7.705353944962739,-32.30066953309569,1,1
gate_0.10,prose,prose_02,1,10.818594738519536,8.453375448643403,-21.862537113575257,1,1
gate_0.10,structured,structured_07,1,11.456520260768706,10.110447380967686,-11.74940426204685,1,1
gate_0.10,structured,structured_01,1,11.429697384394427,10.304540463813805,-9.844153197939068,1,1
gate_0.10,structured,structured_06,1,12.414219304562437,13.003256685460178,4.744860441455709,1,1
gate_0.10,prose,prose_08,1,11.424909481783288,6.808310664595085,-40.408187255656124,1,1
gate_0.10,prose,prose_07,1,11.520323619369531,7.810018643530465,-32.20660372422871,1,1
gate_0.10,structured,structured_03,1,12.331883157017483,14.910376574237777,20.90916192108905,1,1
gate_0.10,prose,prose_06,1,11.231959160200523,8.621791673985193,-23.2387551360072,1,1
gate_0.10,structured,structured_05,1,11.37708962991377,11.119053718857792,-2.2680309239853846,1,1
gate_0.10,prose,prose_04,1,11.376057732721216,7.4408888498168,-34.59167468520839,1,1
gate_0.10,structured,structured_08,1,11.655016482739486,16.15026652430684,38.56922938053843,1,1
gate_0.10,prose,prose_01,1,11.132592942481907,7.611312836897963,-31.63036790958879,1,1
gate_0.10,structured,structured_02,1,11.502700518389002,10.892977645216257,-5.3006932780524005,1,1
gate_0.10,prose,prose_03,1,11.150570538100197,6.843020377049913,-38.630760160046414,1,1
gate_0.10,structured,structured_04,1,11.481410717706005,13.155287684256844,14.57901827315939,1,1
gate_0.10,prose,prose_03,2,10.921211131660746,6.707890408012464,-38.5792443059159,1,1
gate_0.10,prose,prose_05,2,10.950052458433285,7.281706018836728,-33.50072023418797,1,1
gate_0.10,structured,structured_01,2,10.769053071954753,9.379161176775098,-12.906351987430295,1,1
gate_0.10,structured,structured_07,2,10.852616602150844,9.780974658370166,-9.874502924652225,1,1
gate_0.10,prose,prose_02,2,10.949787369161744,7.952577790071165,-27.37230850282738,1,1
gate_0.10,structured,structured_05,2,11.336509693361416,10.915103325054405,-3.7172496624228493,1,1
