ctx	drafter	vram_MiB	free_MiB	load_s	decode_tps
8192	nodraft	16974	15113	2.04	76.69
8192	dflash	19374	12713	3.04	117.77
32768	nodraft	17307	14780	2.03	76.74
32768	dflash	19709	12378	3.04	117.65
131072	nodraft	18649	13438	2.03	76.26
131072	dflash	21051	11036	3.04	117.19
